,Name,0.5,1.5
0,Gyeongbokgung Palace,"[(0, 78), (0, 96), (0, 119), (0, 143), (0, 150), (0, 157)]","[(0, 6), (0, 9), (0, 10), (0, 11), (0, 15), (0, 16), (0, 19), (0, 33), (0, 37), (0, 47), (0, 49), (0, 51), (0, 52), (0, 54), (0, 57), (0, 62), (0, 70), (0, 78), (0, 83), (0, 86), (0, 89), (0, 96), (0, 101), (0, 108), (0, 113), (0, 115), (0, 117), (0, 119), (0, 123), (0, 127), (0, 129), (0, 131), (0, 135), (0, 138), (0, 141), (0, 143), (0, 144), (0, 150), (0, 156), (0, 157), (0, 163), (0, 167), (0, 170), (0, 171)]"
1,Bukhansan National Park,[],[]
2,Myeongdong Shopping Street,"[(2, 124)]","[(2, 6), (2, 14), (2, 22), (2, 24), (2, 30), (2, 31), (2, 36), (2, 43), (2, 46), (2, 60), (2, 61), (2, 73), (2, 74), (2, 83), (2, 84), (2, 92), (2, 104), (2, 106), (2, 117), (2, 124), (2, 136), (2, 138), (2, 140), (2, 142)]"
3,Changdeokgung Palace,"[(3, 97), (3, 144)]","[(3, 6), (3, 16), (3, 19), (3, 24), (3, 33), (3, 57), (3, 62), (3, 70), (3, 83), (3, 96), (3, 97), (3, 108), (3, 110), (3, 113), (3, 117), (3, 119), (3, 123), (3, 138), (3, 140), (3, 144), (3, 162), (3, 163), (3, 167)]"
4,The War Memorial of Korea,[],"[(4, 5), (4, 45), (4, 69), (4, 88), (4, 107)]"
5,National Museum of Korea,"[(5, 45)]","[(5, 4), (5, 39), (5, 44), (5, 45)]"
6,Insadong,"[(6, 16), (6, 57), (6, 83), (6, 117), (6, 123), (6, 138)]","[(6, 0), (6, 2), (6, 3), (6, 9), (6, 10), (6, 11), (6, 14), (6, 15), (6, 16), (6, 19), (6, 24), (6, 33), (6, 34), (6, 37), (6, 47), (6, 49), (6, 51), (6, 52), (6, 54), (6, 57), (6, 61), (6, 62), (6, 70), (6, 78), (6, 83), (6, 89), (6, 92), (6, 95), (6, 96), (6, 97), (6, 101), (6, 106), (6, 108), (6, 111), (6, 113), (6, 117), (6, 119), (6, 121), (6, 123), (6, 127), (6, 129), (6, 131), (6, 135), (6, 136), (6, 138), (6, 141), (6, 143), (6, 144), (6, 150), (6, 156), (6, 157), (6, 163), (6, 164), (6, 167), (6, 171)]"
7,Trickeye Museum Seoul,"[(7, 20), (7, 25), (7, 48), (7, 122), (7, 166)]","[(7, 20), (7, 25), (7, 48), (7, 68), (7, 71), (7, 122), (7, 165), (7, 166)]"
8,Lotte World Tower & Mall,[],"[(8, 35), (8, 112), (8, 120), (8, 159)]"
9,KTX (Korea Train Express),"[(9, 37), (9, 47), (9, 49), (9, 51), (9, 54), (9, 89), (9, 101), (9, 127), (9, 131), (9, 135)]","[(9, 0), (9, 6), (9, 14), (9, 16), (9, 33), (9, 34), (9, 37), (9, 47), (9, 49), (9, 51), (9, 52), (9, 54), (9, 56), (9, 57), (9, 61), (9, 62), (9, 64), (9, 66), (9, 78), (9, 83), (9, 86), (9, 89), (9, 92), (9, 95), (9, 96), (9, 101), (9, 105), (9, 111), (9, 113), (9, 115), (9, 117), (9, 119), (9, 121), (9, 123), (9, 125), (9, 127), (9, 129), (9, 131), (9, 135), (9, 136), (9, 138), (9, 143), (9, 150), (9, 157), (9, 160), (9, 163), (9, 164), (9, 167), (9, 171), (9, 173)]"
10,Seoul Metro,"[(10, 37), (10, 47), (10, 49), (10, 51), (10, 54), (10, 89), (10, 101), (10, 127), (10, 131), (10, 135)]","[(10, 0), (10, 6), (10, 14), (10, 16), (10, 33), (10, 34), (10, 37), (10, 47), (10, 49), (10, 51), (10, 52), (10, 54), (10, 56), (10, 57), (10, 61), (10, 62), (10, 64), (10, 66), (10, 78), (10, 83), (10, 86), (10, 89), (10, 92), (10, 95), (10, 96), (10, 101), (10, 105), (10, 111), (10, 113), (10, 115), (10, 117), (10, 119), (10, 121), (10, 123), (10, 125), (10, 127), (10, 129), (10, 131), (10, 135), (10, 136), (10, 138), (10, 143), (10, 150), (10, 157), (10, 160), (10, 163), (10, 164), (10, 167), (10, 171), (10, 173)]"
11,Hangang Park,"[(11, 37), (11, 47), (11, 49), (11, 51), (11, 54), (11, 89), (11, 101), (11, 127), (11, 131), (11, 135)]","[(11, 0), (11, 6), (11, 14), (11, 16), (11, 33), (11, 34), (11, 37), (11, 47), (11, 49), (11, 51), (11, 52), (11, 54), (11, 56), (11, 57), (11, 61), (11, 62), (11, 64), (11, 66), (11, 78), (11, 83), (11, 86), (11, 89), (11, 92), (11, 95), (11, 96), (11, 101), (11, 105), (11, 111), (11, 113), (11, 115), (11, 117), (11, 119), (11, 121), (11, 123), (11, 125), (11, 127), (11, 129), (11, 131), (11, 135), (11, 136), (11, 138), (11, 143), (11, 150), (11, 157), (11, 160), (11, 163), (11, 164), (11, 167), (11, 171), (11, 173)]"
12,N Seoul Tower,"[(12, 13)]","[(12, 13), (12, 14), (12, 34), (12, 37), (12, 56), (12, 61), (12, 66), (12, 92), (12, 104), (12, 105), (12, 106), (12, 107), (12, 111), (12, 125), (12, 136), (12, 164)]"
13,Namsan Park,"[(13, 12)]","[(13, 12), (13, 14), (13, 34), (13, 37), (13, 56), (13, 61), (13, 66), (13, 92), (13, 104), (13, 105), (13, 106), (13, 107), (13, 111), (13, 125), (13, 136), (13, 164)]"
14,Myeongdong NANTA Theater,"[(14, 34), (14, 37), (14, 61), (14, 92), (14, 101), (14, 111), (14, 131), (14, 136)]","[(14, 2), (14, 6), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (14, 15), (14, 16), (14, 33), (14, 34), (14, 37), (14, 47), (14, 49), (14, 51), (14, 52), (14, 54), (14, 56), (14, 57), (14, 61), (14, 64), (14, 66), (14, 83), (14, 89), (14, 92), (14, 101), (14, 104), (14, 105), (14, 106), (14, 111), (14, 113), (14, 115), (14, 117), (14, 123), (14, 125), (14, 127), (14, 129), (14, 131), (14, 135), (14, 136), (14, 138), (14, 141), (14, 143), (14, 144), (14, 150), (14, 156), (14, 157), (14, 163), (14, 164), (14, 167), (14, 171), (14, 173)]"
15,Cheonggyecheon Stream,"[(15, 37), (15, 47), (15, 49), (15, 51), (15, 54), (15, 89), (15, 101), (15, 127), (15, 131), (15, 135)]","[(15, 0), (15, 6), (15, 14), (15, 16), (15, 33), (15, 34), (15, 37), (15, 47), (15, 49), (15, 51), (15, 52), (15, 54), (15, 56), (15, 57), (15, 61), (15, 62), (15, 64), (15, 66), (15, 78), (15, 83), (15, 86), (15, 89), (15, 92), (15, 95), (15, 96), (15, 101), (15, 105), (15, 111), (15, 113), (15, 115), (15, 117), (15, 119), (15, 121), (15, 123), (15, 125), (15, 127), (15, 129), (15, 131), (15, 135), (15, 136), (15, 138), (15, 143), (15, 150), (15, 157), (15, 160), (15, 163), (15, 164), (15, 167), (15, 171), (15, 173)]"
16,Jogyesa Temple,"[(16, 6), (16, 33), (16, 57), (16, 62), (16, 113), (16, 123), (16, 150), (16, 163), (16, 167)]","[(16, 0), (16, 3), (16, 6), (16, 9), (16, 10), (16, 11), (16, 14), (16, 15), (16, 19), (16, 33), (16, 34), (16, 37), (16, 47), (16, 49), (16, 51), (16, 52), (16, 54), (16, 57), (16, 61), (16, 62), (16, 70), (16, 78), (16, 83), (16, 86), (16, 89), (16, 92), (16, 95), (16, 96), (16, 97), (16, 101), (16, 108), (16, 111), (16, 113), (16, 115), (16, 117), (16, 119), (16, 121), (16, 123), (16, 127), (16, 129), (16, 131), (16, 135), (16, 136), (16, 138), (16, 141), (16, 143), (16, 144), (16, 150), (16, 156), (16, 157), (16, 163), (16, 167), (16, 170), (16, 171)]"
17,Bongeunsa Temple,[],"[(17, 23), (17, 41), (17, 85), (17, 98), (17, 100), (17, 128), (17, 137), (17, 176)]"
18,Haneul Park,[],[]
19,Bukchon Hanok Village,"[(19, 62), (19, 70), (19, 108), (19, 119)]","[(19, 0), (19, 3), (19, 6), (19, 16), (19, 33), (19, 47), (19, 52), (19, 57), (19, 62), (19, 70), (19, 78), (19, 83), (19, 95), (19, 96), (19, 97), (19, 108), (19, 113), (19, 117), (19, 119), (19, 121), (19, 123), (19, 129), (19, 133), (19, 138), (19, 143), (19, 144), (19, 150), (19, 157), (19, 163), (19, 167), (19, 170)]"
20,Hongik University Street,"[(20, 7), (20, 25), (20, 166)]","[(20, 7), (20, 25), (20, 48), (20, 68), (20, 71), (20, 122), (20, 149), (20, 165), (20, 166)]"
21,Ewha Womans University,[],"[(21, 59), (21, 172)]"
22,Dongdaemun Design Plaza (DDP),"[(22, 30), (22, 31), (22, 36), (22, 43), (22, 46), (22, 73), (22, 84), (22, 142)]","[(22, 2), (22, 24), (22, 30), (22, 31), (22, 36), (22, 43), (22, 46), (22, 60), (22, 73), (22, 74), (22, 79), (22, 84), (22, 110), (22, 116), (22, 124), (22, 140), (22, 142)]"
23,Starfield Library,"[(23, 85), (23, 98), (23, 137)]","[(23, 17), (23, 85), (23, 98), (23, 128), (23, 137)]"
24,Kwangjang Market,[],"[(24, 2), (24, 3), (24, 6), (24, 22), (24, 30), (24, 31), (24, 36), (24, 43), (24, 46), (24, 57), (24, 60), (24, 73), (24, 74), (24, 79), (24, 83), (24, 84), (24, 92), (24, 97), (24, 104), (24, 106), (24, 110), (24, 116), (24, 117), (24, 124), (24, 138), (24, 140), (24, 142), (24, 144)]"
25,Love Museum,"[(25, 7), (25, 20), (25, 48), (25, 122), (25, 166)]","[(25, 7), (25, 20), (25, 48), (25, 68), (25, 71), (25, 122), (25, 165), (25, 166)]"
26,Seoul Forest,[],[]
27,Yeouido Hangang Park,"[(27, 139)]","[(27, 90), (27, 134), (27, 139), (27, 146), (27, 155)]"
28,Leeum Samsung Museum of Art,[],"[(28, 38), (28, 107), (28, 132)]"
29,Seoul Sky,[],"[(29, 35), (29, 112), (29, 120), (29, 159)]"
30,Doota,"[(30, 22), (30, 31), (30, 36), (30, 43), (30, 46), (30, 60), (30, 73), (30, 74), (30, 84), (30, 142)]","[(30, 2), (30, 22), (30, 24), (30, 31), (30, 36), (30, 43), (30, 46), (30, 60), (30, 73), (30, 74), (30, 79), (30, 84), (30, 110), (30, 116), (30, 124), (30, 140), (30, 142)]"
31,apm Place,"[(31, 22), (31, 30), (31, 36), (31, 46), (31, 73), (31, 84)]","[(31, 2), (31, 22), (31, 24), (31, 30), (31, 36), (31, 43), (31, 46), (31, 60), (31, 73), (31, 74), (31, 84), (31, 106), (31, 116), (31, 124), (31, 140), (31, 142)]"
32,Korea University,[],[]
33,Bugaksan Seoul Fortress,"[(33, 16), (33, 52), (33, 123), (33, 129), (33, 143), (33, 150), (33, 157)]","[(33, 0), (33, 3), (33, 6), (33, 9), (33, 10), (33, 11), (33, 14), (33, 15), (33, 16), (33, 19), (33, 34), (33, 37), (33, 47), (33, 49), (33, 51), (33, 52), (33, 54), (33, 57), (33, 61), (33, 62), (33, 70), (33, 78), (33, 83), (33, 86), (33, 89), (33, 92), (33, 95), (33, 96), (33, 101), (33, 105), (33, 108), (33, 111), (33, 115), (33, 117), (33, 119), (33, 121), (33, 123), (33, 125), (33, 127), (33, 129), (33, 131), (33, 135), (33, 136), (33, 138), (33, 141), (33, 143), (33, 144), (33, 150), (33, 156), (33, 157), (33, 164), (33, 170), (33, 171), (33, 173)]"
34,Korean Postage Stamp Museum,"[(34, 14), (34, 37), (34, 61), (34, 92), (34, 111), (34, 131), (34, 136), (34, 164)]","[(34, 6), (34, 9), (34, 10), (34, 11), (34, 12), (34, 13), (34, 14), (34, 15), (34, 16), (34, 33), (34, 37), (34, 47), (34, 49), (34, 51), (34, 52), (34, 54), (34, 56), (34, 61), (34, 64), (34, 66), (34, 83), (34, 89), (34, 92), (34, 101), (34, 104), (34, 105), (34, 106), (34, 111), (34, 113), (34, 115), (34, 117), (34, 123), (34, 125), (34, 127), (34, 129), (34, 131), (34, 135), (34, 136), (34, 138), (34, 141), (34, 143), (34, 150), (34, 156), (34, 157), (34, 160), (34, 163), (34, 164), (34, 167), (34, 171), (34, 173)]"
35,Star Avenue at Lotte World,"[(35, 120)]","[(35, 8), (35, 29), (35, 94), (35, 120)]"
36,Migliore Dongdaemun Shop,"[(36, 22), (36, 30), (36, 31), (36, 43), (36, 46), (36, 60), (36, 73), (36, 74), (36, 84), (36, 142)]","[(36, 2), (36, 22), (36, 24), (36, 30), (36, 31), (36, 43), (36, 46), (36, 60), (36, 73), (36, 74), (36, 79), (36, 84), (36, 110), (36, 116), (36, 124), (36, 140), (36, 142)]"
37,Lotte Young Plaza Myeongdong,"[(37, 9), (37, 10), (37, 11), (37, 14), (37, 15), (37, 34), (37, 61), (37, 101), (37, 111), (37, 127), (37, 131), (37, 136), (37, 141), (37, 156)]","[(37, 0), (37, 6), (37, 9), (37, 10), (37, 11), (37, 12), (37, 13), (37, 14), (37, 15), (37, 16), (37, 33), (37, 34), (37, 47), (37, 49), (37, 51), (37, 52), (37, 54), (37, 56), (37, 57), (37, 61), (37, 64), (37, 66), (37, 83), (37, 89), (37, 92), (37, 95), (37, 101), (37, 104), (37, 105), (37, 106), (37, 111), (37, 113), (37, 115), (37, 117), (37, 121), (37, 123), (37, 125), (37, 127), (37, 129), (37, 131), (37, 135), (37, 136), (37, 138), (37, 141), (37, 143), (37, 150), (37, 156), (37, 157), (37, 160), (37, 163), (37, 164), (37, 167), (37, 171), (37, 173)]"
38,D Museum,[],"[(38, 28)]"
39,Yongsan Family Park,"[(39, 45)]","[(39, 5), (39, 45), (39, 88)]"
40,Gilsangsa Shrine,"[(40, 158)]","[(40, 133), (40, 158), (40, 162)]"
41,Statue of Gangnam Style,"[(41, 85), (41, 98), (41, 137)]","[(41, 17), (41, 85), (41, 98), (41, 128), (41, 137)]"
42,Shinsegae Gangnam,"[(42, 118), (42, 151)]","[(42, 67), (42, 118), (42, 151), (42, 175)]"
43,Dongdaemun Gate (Heunginjimun),"[(43, 22), (43, 30), (43, 36), (43, 46), (43, 60), (43, 73), (43, 74), (43, 142)]","[(43, 2), (43, 22), (43, 24), (43, 30), (43, 31), (43, 36), (43, 46), (43, 60), (43, 73), (43, 74), (43, 79), (43, 84), (43, 103), (43, 110), (43, 116), (43, 124), (43, 140), (43, 142)]"
44,I-Park Mall,[],"[(44, 5), (44, 88)]"
45,National Hangeul Museum,"[(45, 5), (45, 39), (45, 88)]","[(45, 4), (45, 5), (45, 39), (45, 88)]"
46,Kwanghee Fasion Mall,"[(46, 22), (46, 30), (46, 31), (46, 36), (46, 43), (46, 60), (46, 73), (46, 74), (46, 142)]","[(46, 2), (46, 22), (46, 24), (46, 30), (46, 31), (46, 36), (46, 43), (46, 60), (46, 73), (46, 74), (46, 79), (46, 80), (46, 84), (46, 103), (46, 110), (46, 116), (46, 124), (46, 140), (46, 142)]"
47,Tourist Information Center of Korea Tourism Organization,"[(47, 9), (47, 10), (47, 11), (47, 15), (47, 54), (47, 83), (47, 101), (47, 123), (47, 127), (47, 131), (47, 141), (47, 156)]","[(47, 0), (47, 6), (47, 9), (47, 10), (47, 11), (47, 14), (47, 15), (47, 16), (47, 19), (47, 33), (47, 34), (47, 37), (47, 49), (47, 51), (47, 52), (47, 54), (47, 56), (47, 57), (47, 61), (47, 62), (47, 66), (47, 70), (47, 78), (47, 83), (47, 86), (47, 89), (47, 92), (47, 95), (47, 96), (47, 101), (47, 105), (47, 111), (47, 113), (47, 115), (47, 117), (47, 119), (47, 121), (47, 123), (47, 125), (47, 127), (47, 129), (47, 131), (47, 135), (47, 136), (47, 138), (47, 141), (47, 143), (47, 144), (47, 150), (47, 156), (47, 157), (47, 163), (47, 164), (47, 167), (47, 171), (47, 173)]"
48,Hongik University,"[(48, 7), (48, 25), (48, 122)]","[(48, 7), (48, 20), (48, 25), (48, 68), (48, 122), (48, 165), (48, 166)]"
49,Seoul Museum of Art,"[(49, 9), (49, 10), (49, 11), (49, 15), (49, 54), (49, 89), (49, 127), (49, 141), (49, 156), (49, 171), (49, 173)]","[(49, 0), (49, 6), (49, 9), (49, 10), (49, 11), (49, 14), (49, 15), (49, 16), (49, 33), (49, 34), (49, 37), (49, 47), (49, 52), (49, 54), (49, 56), (49, 61), (49, 64), (49, 66), (49, 78), (49, 83), (49, 86), (49, 89), (49, 92), (49, 95), (49, 101), (49, 105), (49, 111), (49, 113), (49, 115), (49, 121), (49, 123), (49, 125), (49, 127), (49, 129), (49, 131), (49, 136), (49, 138), (49, 141), (49, 143), (49, 150), (49, 156), (49, 157), (49, 160), (49, 163), (49, 164), (49, 167), (49, 171), (49, 173)]"
50,Dream Forest,[],[]
51,Jeongdong Observatory,"[(51, 9), (51, 10), (51, 11), (51, 15), (51, 54), (51, 89), (51, 127), (51, 141), (51, 156), (51, 171), (51, 173)]","[(51, 0), (51, 6), (51, 9), (51, 10), (51, 11), (51, 14), (51, 15), (51, 16), (51, 33), (51, 34), (51, 37), (51, 47), (51, 52), (51, 54), (51, 56), (51, 61), (51, 64), (51, 66), (51, 78), (51, 83), (51, 86), (51, 89), (51, 92), (51, 95), (51, 101), (51, 105), (51, 111), (51, 113), (51, 115), (51, 121), (51, 123), (51, 125), (51, 127), (51, 129), (51, 131), (51, 136), (51, 138), (51, 141), (51, 143), (51, 150), (51, 156), (51, 157), (51, 160), (51, 163), (51, 164), (51, 167), (51, 171), (51, 173)]"
52,The Story of King Sejong & The Story of Admiral Yi Sunshin,"[(52, 33), (52, 54), (52, 113), (52, 129), (52, 143), (52, 150), (52, 157), (52, 163), (52, 167)]","[(52, 0), (52, 6), (52, 9), (52, 10), (52, 11), (52, 14), (52, 15), (52, 16), (52, 19), (52, 33), (52, 34), (52, 37), (52, 47), (52, 49), (52, 51), (52, 54), (52, 57), (52, 61), (52, 62), (52, 70), (52, 78), (52, 83), (52, 86), (52, 89), (52, 92), (52, 95), (52, 96), (52, 101), (52, 105), (52, 108), (52, 111), (52, 113), (52, 115), (52, 117), (52, 119), (52, 121), (52, 123), (52, 125), (52, 127), (52, 129), (52, 131), (52, 135), (52, 136), (52, 138), (52, 141), (52, 143), (52, 144), (52, 150), (52, 156), (52, 157), (52, 163), (52, 164), (52, 167), (52, 170), (52, 171), (52, 173)]"
53,Seoul National Cemetery,[],[]
54,Seoul Plaza,"[(54, 9), (54, 10), (54, 11), (54, 15), (54, 47), (54, 49), (54, 51), (54, 52), (54, 89), (54, 101), (54, 127), (54, 129), (54, 135), (54, 141), (54, 143), (54, 156), (54, 157), (54, 171)]","[(54, 0), (54, 6), (54, 9), (54, 10), (54, 11), (54, 14), (54, 15), (54, 16), (54, 33), (54, 34), (54, 37), (54, 47), (54, 49), (54, 51), (54, 52), (54, 56), (54, 57), (54, 61), (54, 62), (54, 64), (54, 66), (54, 70), (54, 78), (54, 83), (54, 86), (54, 89), (54, 92), (54, 95), (54, 96), (54, 101), (54, 105), (54, 111), (54, 113), (54, 115), (54, 117), (54, 119), (54, 121), (54, 123), (54, 125), (54, 127), (54, 129), (54, 131), (54, 135), (54, 136), (54, 138), (54, 141), (54, 143), (54, 144), (54, 150), (54, 156), (54, 157), (54, 163), (54, 164), (54, 167), (54, 171), (54, 173)]"
55,Ttukseom Hangang Park,[],"[(55, 153)]"
56,Seven Luck Casino Gangbuk Hilton,"[(56, 64), (56, 105), (56, 125), (56, 173)]","[(56, 9), (56, 10), (56, 11), (56, 12), (56, 13), (56, 14), (56, 15), (56, 34), (56, 37), (56, 47), (56, 49), (56, 51), (56, 54), (56, 61), (56, 64), (56, 66), (56, 69), (56, 89), (56, 92), (56, 101), (56, 105), (56, 111), (56, 125), (56, 127), (56, 131), (56, 135), (56, 136), (56, 141), (56, 156), (56, 160), (56, 164), (56, 171), (56, 173)]"
