,Name,0.5,1.5
57,Unhyeongung,"[(57, 6), (57, 16), (57, 117), (57, 138), (57, 144)]","[(57, 0), (57, 3), (57, 6), (57, 9), (57, 10), (57, 11), (57, 14), (57, 15), (57, 16), (57, 19), (57, 24), (57, 33), (57, 37), (57, 47), (57, 52), (57, 54), (57, 62), (57, 70), (57, 78), (57, 83), (57, 92), (57, 95), (57, 96), (57, 97), (57, 101), (57, 108), (57, 113), (57, 117), (57, 119), (57, 121), (57, 123), (57, 127), (57, 129), (57, 131), (57, 136), (57, 138), (57, 141), (57, 143), (57, 144), (57, 150), (57, 156), (57, 157), (57, 163), (57, 167), (57, 170)]"
58,Eungbongsan Mountain,[],"[(58, 103), (58, 114)]"
59,Ansan Jarak-gil,[],"[(59, 21), (59, 81), (59, 172)]"
60,Seoul City Wall Museum,"[(60, 30), (60, 36), (60, 43), (60, 46), (60, 73), (60, 142)]","[(60, 2), (60, 22), (60, 24), (60, 30), (60, 31), (60, 36), (60, 43), (60, 46), (60, 73), (60, 79), (60, 84), (60, 110), (60, 116), (60, 124), (60, 140), (60, 142)]"
61,Myeongdong Underground Shopping Center,"[(61, 14), (61, 34), (61, 37), (61, 92), (61, 111), (61, 136)]","[(61, 2), (61, 6), (61, 9), (61, 10), (61, 11), (61, 12), (61, 13), (61, 14), (61, 15), (61, 16), (61, 33), (61, 34), (61, 37), (61, 47), (61, 49), (61, 51), (61, 52), (61, 54), (61, 56), (61, 64), (61, 66), (61, 83), (61, 89), (61, 92), (61, 101), (61, 104), (61, 105), (61, 106), (61, 111), (61, 113), (61, 117), (61, 123), (61, 125), (61, 127), (61, 129), (61, 131), (61, 135), (61, 136), (61, 138), (61, 141), (61, 150), (61, 156), (61, 163), (61, 164), (61, 167), (61, 171), (61, 173)]"
62,Ice Gallery,"[(62, 16), (62, 19), (62, 70), (62, 96), (62, 119)]","[(62, 0), (62, 3), (62, 6), (62, 9), (62, 10), (62, 11), (62, 15), (62, 16), (62, 19), (62, 33), (62, 47), (62, 52), (62, 54), (62, 57), (62, 70), (62, 78), (62, 83), (62, 95), (62, 96), (62, 97), (62, 101), (62, 108), (62, 113), (62, 117), (62, 119), (62, 121), (62, 123), (62, 127), (62, 129), (62, 131), (62, 138), (62, 141), (62, 143), (62, 144), (62, 150), (62, 156), (62, 157), (62, 163), (62, 167), (62, 170)]"
63,Kukkiwon World Taekwondo Headquarters,[],"[(63, 75)]"
64,Culture Station Seoul 284,"[(64, 56), (64, 160)]","[(64, 9), (64, 10), (64, 11), (64, 14), (64, 15), (64, 34), (64, 37), (64, 49), (64, 51), (64, 54), (64, 56), (64, 61), (64, 66), (64, 69), (64, 89), (64, 101), (64, 105), (64, 111), (64, 115), (64, 125), (64, 127), (64, 131), (64, 135), (64, 136), (64, 141), (64, 156), (64, 160), (64, 164), (64, 171), (64, 173)]"
65,KBS On,[],"[(65, 90), (65, 155)]"
66,An Jung-geun Memorial Hall,"[(66, 164)]","[(66, 9), (66, 10), (66, 11), (66, 12), (66, 13), (66, 14), (66, 15), (66, 34), (66, 37), (66, 47), (66, 49), (66, 51), (66, 54), (66, 56), (66, 61), (66, 64), (66, 69), (66, 89), (66, 92), (66, 101), (66, 104), (66, 105), (66, 111), (66, 125), (66, 127), (66, 131), (66, 135), (66, 136), (66, 141), (66, 156), (66, 160), (66, 164), (66, 171), (66, 173)]"
67,Sebitseom,[],"[(67, 42)]"
68,Gyeongui line forest,[],"[(68, 7), (68, 20), (68, 25), (68, 48), (68, 122), (68, 165), (68, 166)]"
69,Amore Pacific Museum of Art,[],"[(69, 4), (69, 56), (69, 64), (69, 66), (69, 105), (69, 111), (69, 125), (69, 160), (69, 164), (69, 173)]"
70,Baek In-je's House,"[(70, 19), (70, 62), (70, 108), (70, 119)]","[(70, 0), (70, 3), (70, 6), (70, 16), (70, 19), (70, 33), (70, 47), (70, 52), (70, 54), (70, 57), (70, 62), (70, 78), (70, 83), (70, 95), (70, 96), (70, 97), (70, 101), (70, 108), (70, 113), (70, 117), (70, 119), (70, 121), (70, 123), (70, 129), (70, 138), (70, 143), (70, 144), (70, 150), (70, 157), (70, 163), (70, 167), (70, 170)]"
71,Jeoldusan Martyrs' Shrine,[],"[(71, 7), (71, 20), (71, 25), (71, 122), (71, 149), (71, 166), (71, 169)]"
72,Yangjae Citizens' Park,[],[]
73,Lâ€™atelier,"[(73, 22), (73, 30), (73, 31), (73, 36), (73, 43), (73, 46), (73, 60), (73, 74), (73, 84), (73, 142)]","[(73, 2), (73, 22), (73, 24), (73, 30), (73, 31), (73, 36), (73, 43), (73, 46), (73, 60), (73, 74), (73, 79), (73, 84), (73, 110), (73, 116), (73, 124), (73, 140), (73, 142)]"
74,Dongdaemun Seonggwak Park,"[(74, 30), (74, 36), (74, 43), (74, 46), (74, 73), (74, 142)]","[(74, 2), (74, 22), (74, 24), (74, 30), (74, 31), (74, 36), (74, 43), (74, 46), (74, 73), (74, 79), (74, 84), (74, 110), (74, 116), (74, 124), (74, 140), (74, 142)]"
75,Seocho Tourist Information Center,[],"[(75, 63)]"
76,Paradise Casino Walkerhill,[],[]
77,Mario outlet,[],[]
78,Daelim Museum,"[(78, 0), (78, 95), (78, 121)]","[(78, 0), (78, 6), (78, 9), (78, 10), (78, 11), (78, 15), (78, 16), (78, 19), (78, 33), (78, 47), (78, 49), (78, 51), (78, 52), (78, 54), (78, 57), (78, 62), (78, 70), (78, 83), (78, 86), (78, 89), (78, 95), (78, 96), (78, 101), (78, 108), (78, 113), (78, 115), (78, 119), (78, 121), (78, 123), (78, 127), (78, 129), (78, 131), (78, 135), (78, 138), (78, 141), (78, 143), (78, 150), (78, 156), (78, 157), (78, 163), (78, 167), (78, 170), (78, 171)]"
79,Naksan Public Art,"[(79, 110), (79, 116), (79, 140)]","[(79, 22), (79, 24), (79, 30), (79, 36), (79, 43), (79, 46), (79, 60), (79, 73), (79, 74), (79, 84), (79, 97), (79, 110), (79, 116), (79, 140), (79, 142), (79, 162)]"
80,Seoul Folk Flea Market,"[(80, 103)]","[(80, 46), (80, 103), (80, 114)]"
81,Seodaemun Museum of Natural History,[],"[(81, 59)]"
82,Dosan Neighborhood Park,[],"[(82, 87), (82, 109), (82, 174)]"
83,Tapgol Park,"[(83, 6), (83, 47), (83, 123), (83, 138)]","[(83, 0), (83, 2), (83, 3), (83, 6), (83, 9), (83, 10), (83, 11), (83, 14), (83, 15), (83, 16), (83, 19), (83, 24), (83, 33), (83, 34), (83, 37), (83, 47), (83, 49), (83, 51), (83, 52), (83, 54), (83, 57), (83, 61), (83, 62), (83, 70), (83, 78), (83, 89), (83, 92), (83, 95), (83, 96), (83, 97), (83, 101), (83, 104), (83, 105), (83, 106), (83, 111), (83, 113), (83, 117), (83, 119), (83, 121), (83, 123), (83, 125), (83, 127), (83, 129), (83, 131), (83, 135), (83, 136), (83, 138), (83, 141), (83, 143), (83, 144), (83, 150), (83, 156), (83, 157), (83, 163), (83, 164), (83, 167), (83, 171), (83, 173)]"
84,Lotte FitIn,"[(84, 22), (84, 30), (84, 31), (84, 36), (84, 73)]","[(84, 2), (84, 22), (84, 24), (84, 30), (84, 31), (84, 36), (84, 43), (84, 46), (84, 60), (84, 73), (84, 74), (84, 79), (84, 104), (84, 106), (84, 116), (84, 124), (84, 140), (84, 142)]"
85,Seven Luck Casino Gangnam Coex,"[(85, 23), (85, 41), (85, 100), (85, 176)]","[(85, 17), (85, 23), (85, 41), (85, 100), (85, 128), (85, 176)]"
86,Gyeonghuigung Palace,"[(86, 115)]","[(86, 0), (86, 9), (86, 10), (86, 11), (86, 15), (86, 16), (86, 33), (86, 47), (86, 49), (86, 51), (86, 52), (86, 54), (86, 78), (86, 89), (86, 95), (86, 96), (86, 101), (86, 113), (86, 115), (86, 119), (86, 121), (86, 127), (86, 129), (86, 131), (86, 135), (86, 141), (86, 143), (86, 150), (86, 156), (86, 157), (86, 163), (86, 167), (86, 171), (86, 173)]"
87,Figure Museum,[],"[(87, 82), (87, 174)]"
88,Children's Museum of National Museum of Korea,"[(88, 45)]","[(88, 4), (88, 39), (88, 44), (88, 45)]"
89,Deoksugung,"[(89, 9), (89, 10), (89, 11), (89, 15), (89, 49), (89, 51), (89, 54), (89, 127), (89, 135), (89, 141), (89, 156), (89, 171)]","[(89, 0), (89, 6), (89, 9), (89, 10), (89, 11), (89, 14), (89, 15), (89, 16), (89, 33), (89, 34), (89, 37), (89, 47), (89, 49), (89, 51), (89, 52), (89, 54), (89, 56), (89, 61), (89, 64), (89, 66), (89, 78), (89, 83), (89, 86), (89, 92), (89, 95), (89, 96), (89, 101), (89, 105), (89, 111), (89, 113), (89, 115), (89, 119), (89, 121), (89, 123), (89, 125), (89, 127), (89, 129), (89, 131), (89, 135), (89, 136), (89, 138), (89, 141), (89, 143), (89, 150), (89, 156), (89, 157), (89, 160), (89, 163), (89, 164), (89, 167), (89, 171), (89, 173)]"
90,Yeouido Park,"[(90, 155)]","[(90, 27), (90, 65), (90, 139), (90, 155)]"
91,Olympic Park,[],[]
92,Myeong-dong Cathedral,"[(92, 14), (92, 34), (92, 61), (92, 136)]","[(92, 2), (92, 6), (92, 9), (92, 10), (92, 11), (92, 12), (92, 13), (92, 14), (92, 15), (92, 16), (92, 24), (92, 33), (92, 34), (92, 37), (92, 47), (92, 49), (92, 51), (92, 52), (92, 54), (92, 56), (92, 57), (92, 61), (92, 66), (92, 83), (92, 89), (92, 101), (92, 104), (92, 105), (92, 106), (92, 111), (92, 113), (92, 117), (92, 123), (92, 124), (92, 125), (92, 127), (92, 129), (92, 131), (92, 135), (92, 136), (92, 138), (92, 141), (92, 143), (92, 144), (92, 150), (92, 156), (92, 157), (92, 163), (92, 164), (92, 167), (92, 171), (92, 173)]"
93,Seoul Children's Grand Park,[],[]
94,Lotte World Aquarium,[],"[(94, 35), (94, 112), (94, 120), (94, 159)]"
95,Gwanghwamun Gate,"[(95, 78), (95, 96), (95, 119), (95, 143), (95, 150), (95, 157)]","[(95, 6), (95, 9), (95, 10), (95, 11), (95, 15), (95, 16), (95, 19), (95, 33), (95, 37), (95, 47), (95, 49), (95, 51), (95, 52), (95, 54), (95, 57), (95, 62), (95, 70), (95, 78), (95, 83), (95, 86), (95, 89), (95, 96), (95, 101), (95, 108), (95, 113), (95, 115), (95, 117), (95, 119), (95, 123), (95, 127), (95, 129), (95, 131), (95, 135), (95, 138), (95, 141), (95, 143), (95, 144), (95, 150), (95, 156), (95, 157), (95, 163), (95, 167), (95, 170), (95, 171)]"
96,National Folk Museum of Korea,"[(96, 0), (96, 62), (96, 95), (96, 119), (96, 121)]","[(96, 0), (96, 3), (96, 6), (96, 9), (96, 10), (96, 11), (96, 15), (96, 16), (96, 19), (96, 33), (96, 47), (96, 52), (96, 54), (96, 57), (96, 62), (96, 70), (96, 78), (96, 83), (96, 86), (96, 89), (96, 95), (96, 101), (96, 108), (96, 113), (96, 115), (96, 117), (96, 119), (96, 121), (96, 123), (96, 127), (96, 129), (96, 131), (96, 138), (96, 141), (96, 143), (96, 144), (96, 150), (96, 156), (96, 157), (96, 163), (96, 167), (96, 170), (96, 171)]"
97,Changgyeonggung Palace,"[(97, 3)]","[(97, 3), (97, 6), (97, 16), (97, 19), (97, 24), (97, 57), (97, 62), (97, 70), (97, 79), (97, 83), (97, 108), (97, 110), (97, 116), (97, 117), (97, 119), (97, 123), (97, 138), (97, 140), (97, 144), (97, 162)]"
98,Starfield COEX Mall,"[(98, 23), (98, 41), (98, 100), (98, 176)]","[(98, 17), (98, 23), (98, 41), (98, 100), (98, 128), (98, 176)]"
99,Jamsil Baseball Stadium,[],[]
100,Coex Aquarium,"[(100, 85), (100, 98), (100, 137)]","[(100, 17), (100, 85), (100, 98), (100, 128), (100, 137)]"
101,Grevin Museum,"[(101, 9), (101, 10), (101, 11), (101, 14), (101, 15), (101, 37), (101, 47), (101, 54), (101, 127), (101, 131), (101, 141), (101, 156)]","[(101, 0), (101, 6), (101, 9), (101, 10), (101, 11), (101, 14), (101, 15), (101, 16), (101, 33), (101, 34), (101, 37), (101, 47), (101, 49), (101, 51), (101, 52), (101, 54), (101, 56), (101, 57), (101, 61), (101, 62), (101, 64), (101, 66), (101, 70), (101, 78), (101, 83), (101, 86), (101, 89), (101, 92), (101, 95), (101, 96), (101, 105), (101, 111), (101, 113), (101, 115), (101, 117), (101, 119), (101, 121), (101, 123), (101, 125), (101, 127), (101, 129), (101, 131), (101, 135), (101, 136), (101, 138), (101, 141), (101, 143), (101, 144), (101, 150), (101, 156), (101, 157), (101, 163), (101, 164), (101, 167), (101, 171), (101, 173)]"
102,Seodaemun Prison History Hall,[],[]
103,Seoul Lantern Festival,"[(103, 80)]","[(103, 43), (103, 46), (103, 58), (103, 80)]"
104,Namsangol Hanok Village,"[(104, 106)]","[(104, 2), (104, 12), (104, 13), (104, 14), (104, 24), (104, 34), (104, 37), (104, 61), (104, 66), (104, 83), (104, 84), (104, 92), (104, 106), (104, 111), (104, 124), (104, 131), (104, 136), (104, 138), (104, 164)]"
105,Namdaemun Market,"[(105, 56), (105, 111), (105, 125), (105, 164), (105, 173)]","[(105, 9), (105, 10), (105, 11), (105, 12), (105, 13), (105, 14), (105, 15), (105, 33), (105, 34), (105, 37), (105, 47), (105, 49), (105, 51), (105, 52), (105, 54), (105, 56), (105, 61), (105, 64), (105, 66), (105, 69), (105, 83), (105, 89), (105, 92), (105, 101), (105, 111), (105, 113), (105, 115), (105, 123), (105, 125), (105, 127), (105, 129), (105, 131), (105, 135), (105, 136), (105, 141), (105, 143), (105, 150), (105, 156), (105, 157), (105, 160), (105, 163), (105, 164), (105, 167), (105, 171), (105, 173)]"
106,Korea House,"[(106, 104)]","[(106, 2), (106, 6), (106, 12), (106, 13), (106, 14), (106, 24), (106, 31), (106, 34), (106, 37), (106, 61), (106, 83), (106, 84), (106, 92), (106, 104), (106, 111), (106, 117), (106, 124), (106, 131), (106, 136), (106, 138), (106, 164)]"
107,Itaewon,[],"[(107, 4), (107, 12), (107, 13), (107, 28), (107, 132)]"
108,Samcheongdong-gil Road,"[(108, 19), (108, 70)]","[(108, 0), (108, 3), (108, 6), (108, 16), (108, 19), (108, 33), (108, 52), (108, 57), (108, 62), (108, 70), (108, 78), (108, 95), (108, 96), (108, 97), (108, 113), (108, 117), (108, 119), (108, 121), (108, 123), (108, 129), (108, 133), (108, 138), (108, 143), (108, 144), (108, 150), (108, 157), (108, 163), (108, 167), (108, 170)]"
109,Garosu-gil,[],"[(109, 82), (109, 174)]"
110,Naksan Park,"[(110, 79), (110, 116), (110, 140)]","[(110, 3), (110, 22), (110, 24), (110, 30), (110, 36), (110, 43), (110, 46), (110, 60), (110, 73), (110, 74), (110, 79), (110, 97), (110, 116), (110, 140), (110, 142), (110, 162)]"
111,Shinsegae Dept. Store Main,"[(111, 14), (111, 34), (111, 37), (111, 61), (111, 105), (111, 125), (111, 131), (111, 136), (111, 164)]","[(111, 6), (111, 9), (111, 10), (111, 11), (111, 12), (111, 13), (111, 14), (111, 15), (111, 16), (111, 33), (111, 34), (111, 37), (111, 47), (111, 49), (111, 51), (111, 52), (111, 54), (111, 56), (111, 61), (111, 64), (111, 66), (111, 69), (111, 83), (111, 89), (111, 92), (111, 101), (111, 104), (111, 105), (111, 106), (111, 113), (111, 115), (111, 123), (111, 125), (111, 127), (111, 129), (111, 131), (111, 135), (111, 136), (111, 138), (111, 141), (111, 143), (111, 150), (111, 156), (111, 157), (111, 160), (111, 163), (111, 164), (111, 167), (111, 171), (111, 173)]"
112,Lotte World,"[(112, 120)]","[(112, 8), (112, 29), (112, 94), (112, 120)]"
113,Inwangsan Mountain,"[(113, 16), (113, 52), (113, 123), (113, 129), (113, 143), (113, 150), (113, 157)]","[(113, 0), (113, 3), (113, 6), (113, 9), (113, 10), (113, 11), (113, 14), (113, 15), (113, 16), (113, 19), (113, 34), (113, 37), (113, 47), (113, 49), (113, 51), (113, 52), (113, 54), (113, 57), (113, 61), (113, 62), (113, 70), (113, 78), (113, 83), (113, 86), (113, 89), (113, 92), (113, 95), (113, 96), (113, 101), (113, 105), (113, 108), (113, 111), (113, 115), (113, 117), (113, 119), (113, 121), (113, 123), (113, 125), (113, 127), (113, 129), (113, 131), (113, 135), (113, 136), (113, 138), (113, 141), (113, 143), (113, 144), (113, 150), (113, 156), (113, 157), (113, 164), (113, 170), (113, 171), (113, 173)]"
114,Majang Meat Market,[],"[(114, 58), (114, 80)]"
115,Seoul Museum of History,"[(115, 86), (115, 171)]","[(115, 0), (115, 9), (115, 10), (115, 11), (115, 14), (115, 15), (115, 16), (115, 33), (115, 34), (115, 37), (115, 47), (115, 49), (115, 51), (115, 52), (115, 54), (115, 64), (115, 78), (115, 86), (115, 89), (115, 95), (115, 96), (115, 101), (115, 105), (115, 111), (115, 113), (115, 119), (115, 121), (115, 123), (115, 125), (115, 127), (115, 129), (115, 131), (115, 135), (115, 141), (115, 143), (115, 150), (115, 156), (115, 157), (115, 163), (115, 167), (115, 171), (115, 173)]"
116,Seoul City Wall,"[(116, 79), (116, 110), (116, 140)]","[(116, 22), (116, 24), (116, 30), (116, 31), (116, 36), (116, 43), (116, 46), (116, 60), (116, 73), (116, 74), (116, 79), (116, 84), (116, 97), (116, 110), (116, 140), (116, 142), (116, 162)]"
117,Ikseon-dong Hanok Street,"[(117, 6), (117, 57), (117, 138), (117, 144)]","[(117, 0), (117, 2), (117, 3), (117, 6), (117, 9), (117, 10), (117, 11), (117, 14), (117, 15), (117, 16), (117, 19), (117, 24), (117, 33), (117, 34), (117, 37), (117, 47), (117, 52), (117, 54), (117, 57), (117, 61), (117, 62), (117, 70), (117, 83), (117, 92), (117, 95), (117, 96), (117, 97), (117, 101), (117, 106), (117, 108), (117, 113), (117, 119), (117, 121), (117, 123), (117, 124), (117, 127), (117, 129), (117, 131), (117, 136), (117, 138), (117, 140), (117, 141), (117, 143), (117, 144), (117, 150), (117, 156), (117, 157), (117, 163), (117, 167)]"
118,GOTO Mall,"[(118, 42), (118, 151)]","[(118, 42), (118, 151), (118, 175)]"
119,National Museum of Modern and Contemporary Art Seoul,"[(119, 0), (119, 19), (119, 62), (119, 70), (119, 95), (119, 96), (119, 121)]","[(119, 0), (119, 3), (119, 6), (119, 9), (119, 10), (119, 11), (119, 15), (119, 16), (119, 19), (119, 33), (119, 47), (119, 52), (119, 54), (119, 57), (119, 62), (119, 70), (119, 78), (119, 83), (119, 86), (119, 89), (119, 95), (119, 96), (119, 97), (119, 101), (119, 108), (119, 113), (119, 115), (119, 117), (119, 121), (119, 123), (119, 127), (119, 129), (119, 131), (119, 138), (119, 141), (119, 143), (119, 144), (119, 150), (119, 156), (119, 157), (119, 163), (119, 167), (119, 170)]"
120,Seokchon Lake,"[(120, 35), (120, 112), (120, 159)]","[(120, 8), (120, 29), (120, 35), (120, 94), (120, 112), (120, 159)]"
121,National Palace Museum of Korea,"[(121, 78), (121, 96), (121, 119), (121, 143), (121, 150), (121, 157)]","[(121, 6), (121, 9), (121, 10), (121, 11), (121, 15), (121, 16), (121, 19), (121, 33), (121, 37), (121, 47), (121, 49), (121, 51), (121, 52), (121, 54), (121, 57), (121, 62), (121, 70), (121, 78), (121, 83), (121, 86), (121, 89), (121, 96), (121, 101), (121, 108), (121, 113), (121, 115), (121, 117), (121, 119), (121, 123), (121, 127), (121, 129), (121, 131), (121, 135), (121, 138), (121, 141), (121, 143), (121, 144), (121, 150), (121, 156), (121, 157), (121, 163), (121, 167), (121, 170), (121, 171)]"
