,0,1
0,Ansan Jarak-gil,"(37.5712845, 126.9461068)"
1,Seoul City Wall Museum,"(37.57238220000001, 127.0088652)"
2,Myeongdong Underground Shopping Center,"(37.5608222, 126.9853555)"
3,Ice Gallery,"(37.5792971, 126.9825315)"
4,Kukkiwon World Taekwondo Headquarters,"(37.5022555, 127.030309)"
5,Culture Station Seoul 284,"(37.5560186, 126.9721029)"
6,KBS On,"(37.5255823, 126.9164588)"
7,An Jung-geun Memorial Hall,"(37.55384069999999, 126.9805067)"
8,Sebitseom,"(37.4900549, 127.0007641)"
9,Gyeongui line forest,"(37.5560304, 126.9284396)"
10,Amore Pacific Museum of Art,"(37.5488847, 126.9727028)"
11,Baek In-je's House,"(37.580642, 126.9840665)"
12,Jeoldusan Martyrs' Shrine,"(37.5444056, 126.9116248)"
13,Yangjae Citizens' Park,"(37.4712172, 127.0367358)"
14,L?ì…™telier,"(37.5686986, 127.0076666)"
15,Dongdaemun Seonggwak Park,"(37.57238220000001, 127.0088652)"
16,Seocho Tourist Information Center,"(37.4982493, 127.0270155)"
17,Paradise Casino Walkerhill,"(37.5555968, 127.1112315)"
18,Mario outlet,"(37.47867129999999, 126.8864968)"
19,Daelim Museum,"(37.5774587, 126.9733411)"
20,Naksan Public Art,"(37.5806571, 127.0074835)"
21,Seoul Folk Flea Market,"(37.5730037, 127.0256147)"
22,Seodaemun Museum of Natural History,"(37.5767, 126.937834)"
23,Dosan Neighborhood Park,"(37.5239121, 127.0355914)"
24,Tapgol Park,"(37.5701735, 126.985657)"
25,Lotte FitIn,"(37.56572, 127.0070473)"
26,Seven Luck Casino Gangnam Coex,"(37.5101935, 127.0585824)"
27,Gyeonghuigung Palace,"(37.5712378, 126.9681688)"
28,Figure Museum,"(37.5257613, 127.0403736)"
29,Children's Museum of National Museum of Korea,"(37.5246635, 126.9777271)"
30,Deoksugung,"(37.5658705, 126.9750079)"
31,Yeouido Park,"(37.5268082, 126.9223229)"
32,Olympic Park,"(37.5217853, 127.1165203)"
33,Myeong-dong Cathedral,"(37.5632533, 126.9868325)"
34,Seoul Children's Grand Park,"(37.549363, 127.0818126)"
35,Lotte World Aquarium,"(37.5129907, 127.1027322)"
36,Gwanghwamun Gate,"(37.5773616, 126.9766844)"
37,National Folk Museum of Korea,"(37.5794588, 126.9787219)"
38,Changgyeonggung Palace,"(37.5787708, 126.9948698)"
39,Starfield COEX Mall,"(37.5101935, 127.0585824)"
40,Jamsil Baseball Stadium,"(37.5140929, 127.0749534)"
41,Coex Aquarium,"(37.51168500000001, 127.0593394)"
42,Grevin Museum,"(37.5662404, 126.9803626)"
43,Seodaemun Prison History Hall,"(37.591121, 126.9421154)"
44,Seoul Lantern Festival,"(37.5713521, 127.0246275)"
45,Namsangol Hanok Village,"(37.5588388, 126.9940727)"
46,Namdaemun Market,"(37.55914730000001, 126.977641)"
47,Korea House,"(37.5602041, 126.9947198)"
48,Itaewon,"(37.5400456, 126.9921017)"
49,Samcheongdong-gil Road,"(37.5848379, 126.9819133)"
50,Garosu-gil,"(37.524124, 127.022883)"
51,Naksan Park,"(37.5808755, 127.0051633)"
52,Shinsegae Dept. Store Main,"(37.5603075, 126.9808306)"
53,Lotte World,"(37.5112348, 127.0980274)"
54,Inwangsan Mountain,"(37.5729503, 126.9793579)"
55,Majang Meat Market,"(37.5703062, 127.0399829)"
56,Seoul Museum of History,"(37.5700566, 126.9705312)"
57,Seoul City Wall,"(37.5779633, 127.0084459)"
58,Ikseon-dong Hanok Street,"(37.5742793, 126.989835)"
